APPLICATION_NM5 ,GROUP_NM4,JOBNAME_NM3,CTRM_항목명,CTRM_DATA
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,CMDLINE,"""ksh /apprun/src/dm/com/dmrun.sh MCSQB_106월가맹점종종업종이용실적01 %%PRELASTMN DM.월가맹점동종업종이용실적"""
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,DAYSCAL,MONTHSTART
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,DESCRIPTION,"""[DW.국내회원국내매출전표매입기본] 월가맹점동종업종이용실적_생성"""
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,INCOND,DEUMCSGS_DATE_CHECK_M05D-OK **** AND
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,MONTH,ALL Y
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,TIMEFROM,0000
ADMMON01,ADM05D,DEUMCSQB_106월가맹점동종업종이용실적01,TIMEUNTIL,>
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,CMDLINE,"""ksh /apprun/src/dm/com/dmrun.sh MCSBM_001DMTB공통코드01 %%PRELASTMN DM.공통코드"""
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,DAYSCAL,ALLDays
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,DESCRIPTION,"""[DM.공통코드] 공통코드_생성"""
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,INCOND,DEUMCSGS_DATE_CHECK_M06D-OK **** AND
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,MONTH,ALL Y
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,TIMEFROM,0000
ADMMON01,ADM06D,DEUEBMQQDMTB공통코드D01,TIMEUNTIL,>
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,CMDLINE,"""ksh /apprun/src/dm/com/dmrun.sh MCSQD_030월법인사업장정보01 %%PRELASTMN DM.월법인사업장정보"""
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,DAYSCAL,MONTHSTART
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,DESCRIPTION,"""[DM.월법인사업장정보] 월법인사업장정보_생성"""
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,INCOND,DEUMCSGS_DATE_CHECK_M07D-OK **** AND
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,MONTH,ALL Y
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,TIMEFROM,0000
ADMMON01,ADM07D,DEUMCSQD_030월법인사업장정보01,TIMEUNTIL,>
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,CMDLINE,"""ksh /apprun/src/dm/com/dmrun.sh WCSBV_가수금내역01 %%PRELASTMN DW.가수금내역"""
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,DAYSCAL,MONTHSTART
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,DESCRIPTION,"""[DW.가수금내역] 가수금내역_생성"""
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,INCOND,DEUMCSGS_DATE_CHECK_M08D-OK **** AND
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,MONTH,ALL Y
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,TIMEFROM,0000
ADMMON01,ADM08D,DEUWCSBV_가수금내역01,TIMEUNTIL,>
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,CMDLINE,"""ksh /apprun/src/dm/com/dmrun.sh MCU_DSS_월PLCC회원상세분석집계_UNLOAD01 %%PRELASTMN DM.월PLCC회원상세분석집계_UNLOAD"""
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,DAYSCAL,MONTHSTART
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,DESCRIPTION,"""[월PLCC회원상세분석집계_UNLOAD] 월PLCC회원상세분석집계_UNLOAD_생성"""
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,INCOND,DEUMCSGS_DATE_CHECK_M09D-OK **** AND
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,MONTH,ALL Y
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,TIMEFROM,0000
ADMMON01,ADM09D,DEUMCU_DSS_월PLCC회원상세분석집계_UNLOAD01 ,TIMEUNTIL,>
